code_bcm,name,status
4421250,Bemokotra Sud,introuvable
5317150,Benato Toby,introuvable
2513250,Beretra Bevoay,introuvable
4421231,Berevo Ranobe,introuvable
5410170,Beroboka Nord,introuvable
5107270,Beroy Atsimo,introuvable
5101005,Betania,introuvable
5214030,Betanty (Faux cap),introuvable
5106010,Betioky Atsimo,introuvable
1106330,Betoho,introuvable
4209010,Boriziny Vaovao I,introuvable
4209032,Boriziny Vaovao II,introuvable
4213010,C.U Antsohihy,introuvable
4212010,C.U Befandriana Avaratra,introuvable
4101009,C.U Mahajanga,introuvable
4210010,C.U Mandritsara,introuvable
2108252,Camp Robin,introuvable
7118005,Dzamandzary,introuvable
2513430,Efatsy Anandroza,introuvable
5121050,Ehara,introuvable
5315290,Emagnombo,introuvable
2203190,Fahizay Ambatolahimasina,introuvable
1419010,Fenoarivo Afovoany,introuvable
3205010,Fenoarivo Atsinanana C.U,introuvable
3313031,Feramanga Avaratra,introuvable
3110250,Fito,introuvable
1115130,Fitsinjovana Bakaro,introuvable
51607,FOTSIALANANA,introuvable
3218012,Fotsialanana,introuvable
5315132,Iaboakoho-Riandava,introuvable
3107290,Iaborano,introuvable
2120072,Ialanindro,introuvable
2517052,Iamontana,introuvable
5120131,Ianantsony (Saint Augustin),introuvable
2120170,Iavonomby Vohibola,introuvable
3107210,Ifasina I,introuvable
3107250,Ifasina II,introuvable
2203310,Ihadilalana Ambohinamboar,introuvable
2203290,Ilaka Afovoany,introuvable
3107151,Ilaka Atsinanana,introuvable
2203110,Imerina Imady,introuvable
1305130,Imeritsiatosika,introuvable
2310452,Ionilahy,introuvable
5315052,Isaka-ivondro,introuvable
1103112,Ivato Aeroport,introuvable
1103111,Ivato Firaisana,introuvable
2120392,Ivohibato Ouest,introuvable
2515051,Ivondro Ex-Lavaraty,introuvable
2203070,Ivony Miaramiasa,introuvable
7113032,Joffre Ville,introuvable
2105110,Kirano Soamifanaraka,introuvable
5213050,Kopoky,introuvable
2101006,Lalazana,introuvable
3202002,Loukintsy,introuvable
4304031,Maevatanana II,introuvable
4421030,Mafaijijo,introuvable
2513310,Mahabo Mananivo,introuvable
2513170,Mahafasa Afovoany,introuvable
4115091,Mahajamba Usine,introuvable
50912,MAHANORO ( CHEF LIEU ),introuvable
5317230,Mahasoa Atsinanana,introuvable
1411330,Mahasolo Maroharona,introuvable
2309050,Mahatsara Atsimo,introuvable
2309090,Mahatsara Iefaka,introuvable
1305214,Mahatsinjo Est,introuvable
5101003,Mahavatse I,introuvable
5101004,Mahavatse II,introuvable
3110110,Mahavelona (Foulpointe),introuvable
2309270,Mahavoky Avaratra,introuvable
2203430,Mahazina Ambohipierenana,introuvable
1208006,Mahazoarivo Avarabohitra,introuvable
4223030,Mampikony II,introuvable
3313111,Manakambahiny Andrefana,introuvable
3313210,Manakambahiny Atsinanana,introuvable
2309470,Manakana Avaratra,introuvable
2310010,Manakara Tanambe,introuvable
2513130,Manambotra Atsimo,introuvable
3204011,Mananara Avaratra,introuvable
51107,MANANARA-AVARATRA,introuvable
1313050,Mananasy Tsitakondaza,introuvable
2517112,Manantona,introuvable
5317370,Manarena,introuvable
1312070,Manazary,introuvable
1312130,Mandiavato,introuvable
1313070,Mandiavato Masindray,introuvable
1209050,Mandritsara Ambohijato,introuvable
7113090,Mangaoka,introuvable
1210070,Manjakatompo Firaisana,introuvable
1208005,Manodidina Ny Gara A.,introuvable
2101005,Manolafaka,introuvable
5120250,Manombo Atsimo,introuvable
5216072,Maroalimainte,introuvable
3203010,Maroantsetra C.U,introuvable
5106430,Maroarivo Ankazomanga,introuvable
1305215,Marofangady,introuvable
4304210,Marokoroko,introuvable
1411350,Marotampona,introuvable
5216112,Marovato-Befeno,introuvable
4106031,Marovoay Ambanivohitra,introuvable
4106010,Marovoay Ambonivohitra,introuvable
4402030,Marovoay Atsimo,introuvable
2522031,Marovotsika,introuvable
2416250,Menamaty Iloto,introuvable
1312030,Miarinarivo Suburbaine,introuvable
1312010,Miarinarivo Urbaine,introuvable
5112030,Miary Lamatihy,introuvable
5112012,Miary teheza,introuvable
2515011,Midongy Atsimo,introuvable
5112112,Mihavatse,introuvable
5120010,Mitsinjo Betanimena,introuvable
2310110,Mizilo Gara,introuvable
5106312,Montifeno,introuvable
3312071,Morarano Chrome,introuvable
3314110,Morarano Gara,introuvable
1419032,Morarano Marotampona,introuvable
5218010,Morefeno Bekily,introuvable
5104010,Morombe I,introuvable
5104030,Morombe II (Befandefa),introuvable
2517191,Moroteza,introuvable
